lock_WSV,river,year,FRA,Lad_t,Tragf_t,FTK,SpB,Son,SpB_Son,FTK_SpB_Son,FRA_FTK_SpB_Son,lock_ID_WSV,WSV_ID,Efficiency,n_empty
Abwinden,Danube,1994,14523,9986502,16804264,4392,786,221,880,5273,19796,lo_01,lo_01_1994,,
Abwinden,Danube,1995,14523,9986502,16804264,4392,786,221,880,5273,19796,lo_01,lo_01_1995,,
Abwinden,Danube,1996,14523,9986502,16804264,4392,786,221,880,5273,19796,lo_01,lo_01_1996,,
Abwinden,Danube,1997,14523,9986502,16804264,4392,786,221,880,5273,19796,lo_01,lo_01_1997,,
Abwinden,Danube,1998,14523,9986502,16804264,4392,786,221,880,5273,19796,lo_01,lo_01_1998,,
Abwinden,Danube,1999,14523,9986502,16804264,4392,786,221,880,5273,19796,lo_01,lo_01_1999,,
Abwinden,Danube,2000,14523,10979904,16804264,4392,786,221,880,5273,19796,lo_01,lo_01_2000,,
Abwinden,Danube,2001,14523,11633673,16804264,4392,786,221,880,5273,19796,lo_01,lo_01_2001,,
Abwinden,Danube,2002,14523,12316450,16804264,4392,786,221,880,5273,19796,lo_01,lo_01_2002,,
Abwinden,Danube,2003,14523,10737354,16804264,4392,786,221,880,5273,19796,lo_01,lo_01_2003,,
Abwinden,Danube,2004,14523,9072006,16804264,4392,786,221,880,5273,19796,lo_01,lo_01_2004,,
Abwinden,Danube,2005,14523,9336126,16804264,4392,786,221,880,5273,19796,lo_01,lo_01_2005,,
Abwinden,Danube,2006,14523,10844164,17391602,4392,786,221,880,5273,19796,lo_01,lo_01_2006,,
Abwinden,Danube,2007,14523,12106540,18875427,4392,786,221,880,5273,19796,lo_01,lo_01_2007,,
Abwinden,Danube,2008,14523,11208711,18506789,4392,786,221,880,5273,19796,lo_01,lo_01_2008,,
Abwinden,Danube,2009,13147,9321810,15565770,3292,951,,951,4243,17390,lo_01,lo_01_2009,,
Abwinden,Danube,2010,13962,11052079,17177701,3347,828,,828,4175,18137,lo_01,lo_01_2010,,
Abwinden,Danube,2011,13837,9943288,16721126,3560,920,,920,4480,18317,lo_01,lo_01_2011,,
Abwinden,Danube,2012,15534,10714007,16202904,4832,711,,711,5543,21077,lo_01,lo_01_2012,,
Abwinden,Danube,2013,15467,10709847,16466329,4770,625,203,828,5598,21065,lo_01,lo_01_2013,,
Abwinden,Danube,2014,16078,10121726,16583454,5468,669,241,910,6378,22456,lo_01,lo_01_2014,,
Abwinden,Danube,2015,13639,8599355,14551540,5478,796,219,1015,6493,20132,lo_01,lo_01_2015,,
Altenwörth,Danube,1994,12995,9986502,16804264,3641,962,201,1048,4689,17684,lo_02,lo_02_1994,,
Altenwörth,Danube,1995,12995,9986502,16804264,3641,962,201,1048,4689,17684,lo_02,lo_02_1995,,
Altenwörth,Danube,1996,12995,9986502,16804264,3641,962,201,1048,4689,17684,lo_02,lo_02_1996,,
Altenwörth,Danube,1997,12995,9986502,16804264,3641,962,201,1048,4689,17684,lo_02,lo_02_1997,,
Altenwörth,Danube,1998,12995,9986502,16804264,3641,962,201,1048,4689,17684,lo_02,lo_02_1998,,
Altenwörth,Danube,1999,12995,9986502,16804264,3641,962,201,1048,4689,17684,lo_02,lo_02_1999,,
Altenwörth,Danube,2000,12995,10979904,16804264,3641,962,201,1048,4689,17684,lo_02,lo_02_2000,,
Altenwörth,Danube,2001,12995,11633673,16804264,3641,962,201,1048,4689,17684,lo_02,lo_02_2001,,
Altenwörth,Danube,2002,12995,12316450,16804264,3641,962,201,1048,4689,17684,lo_02,lo_02_2002,,
Altenwörth,Danube,2003,12995,10737354,16804264,3641,962,201,1048,4689,17684,lo_02,lo_02_2003,,
Altenwörth,Danube,2004,12995,9072006,16804264,3641,962,201,1048,4689,17684,lo_02,lo_02_2004,,
Altenwörth,Danube,2005,12995,9336126,16804264,3641,962,201,1048,4689,17684,lo_02,lo_02_2005,,
Altenwörth,Danube,2006,12995,10844164,17391602,3641,962,201,1048,4689,17684,lo_02,lo_02_2006,,
Altenwörth,Danube,2007,12995,12106540,18875427,3641,962,201,1048,4689,17684,lo_02,lo_02_2007,,
Altenwörth,Danube,2008,12995,11208711,18506789,3641,962,201,1048,4689,17684,lo_02,lo_02_2008,,
Altenwörth,Danube,2009,13814,9321810,15565770,3342,1138,,1138,4480,18294,lo_02,lo_02_2009,,
Altenwörth,Danube,2010,14879,11052079,17177701,3430,958,,958,4388,19267,lo_02,lo_02_2010,,
Altenwörth,Danube,2011,13972,9943288,16721126,3677,1131,,1131,4808,18780,lo_02,lo_02_2011,,
Altenwörth,Danube,2012,12291,10714007,16202904,3454,854,,854,4308,16599,lo_02,lo_02_2012,,
Altenwörth,Danube,2013,12577,10709847,16466329,3349,846,174,1020,4369,16946,lo_02,lo_02_2013,,
Altenwörth,Danube,2014,12658,10121726,16583454,4067,720,266,986,5053,17711,lo_02,lo_02_2014,,
Altenwörth,Danube,2015,10773,8599355,14551540,4167,1089,162,1251,5418,16191,lo_02,lo_02_2015,,
Amerongen,Lek,1994,10354,5298786,7429547,,,,,,10354,lo_03,lo_03_1994,,
