River_name,Site_code_LR,Site_name,Y_Latitude,X_Longitude,Strahler
Danube,AT13,"Jochenstein, AT_JDS07",48.55672,13.62403,8
Danube,AT14,"Jochenstein, AT_JDS07",48.55445,13.62936,8
Danube,AT15,"Jochenstein, AT_JDS07",48.543863,13.658484,8
Danube,AT16,"Jochenstein, AT_JDS07",48.558563,13.620999,8
Danube,AT165,"Wildungsmauer - Hainburg, AT_J",48.143127,16.903211,8
Danube,AT166,"Wildungsmauer - Hainburg, AT_J",48.148588,16.929093,8
Danube,AT167,"Wildungsmauer - Hainburg, AT_J",48.122468,16.826185,8
Danube,AT168,"Wildungsmauer - Hainburg, AT_J",48.127479,16.86984,8
Danube,AT169,"Wildungsmauer - Hainburg, AT_J",48.148145,16.912539,8
Danube,AT17,"Jochenstein, AT_JDS07",48.560506,13.619328,8
Danube,AT170,"Wildungsmauer - Hainburg, AT_J",48.14518,16.901472,8
Danube,AT171,"Wildungsmauer - Hainburg, AT_J",48.147537,16.90855,8
Danube,AT172,"Wildungsmauer - Hainburg, AT_J",48.14609,16.903589,8
Danube,AT173,"Wildungsmauer - Hainburg, AT_J",48.127495,16.857745,8
Danube,AT174,"Wildungsmauer - Hainburg, AT_J",48.143564,16.903966,8
Danube,AT175,"Wildungsmauer - Hainburg, AT_J",48.131437,16.878182,8
Danube,AT18,"Jochenstein, AT_JDS07",48.566952,13.606431,8
Danube,AT185,"Wildungsmauer - Hainburg, AT_J",48.131015,16.879242,8
Danube,AT186,"Wildungsmauer - Hainburg, AT_J",48.134061,16.885536,8
Danube,AT187,"Wildungsmauer - Hainburg, AT_J",48.156123,16.946453,8
Danube,AT188,"Wildungsmauer - Hainburg, AT_J",48.157597,16.947114,8
Danube,AT189,"Wildungsmauer - Hainburg, AT_J",48.164272,16.951402,8
Danube,AT19,"Jochenstein, AT_JDS07",48.56546,13.6095,8
Danube,AT190,"Wildungsmauer - Hainburg, AT_J",48.147077,16.919962,8
Danube,AT191,"Wildungsmauer - Hainburg, AT_J",48.149484,16.932017,8
Danube,AT192,"Wildungsmauer - Hainburg, AT_J",48.155799,16.947046,8
Danube,AT193,"Wildungsmauer - Hainburg, AT_J",48.161002,16.947915,8
Danube,AT194,"Wildungsmauer - Hainburg, AT_J",48.125206,16.854638,8
Danube,AT195,"Wildungsmauer - Hainburg, AT_J",48.133628,16.881757,8
Danube,AT196,"Wildungsmauer - Hainburg, AT_J",48.150951,16.938392,8
Danube,AT197,"Jochenstein, AT_JDS07",48.55357,13.62523,8
Danube,AT198,"Jochenstein, AT_JDS07",48.55235,13.63104,8
Danube,AT199,"Jochenstein, AT_JDS07",48.55172,13.63743,8
Danube,AT20,"Jochenstein, AT_JDS07",48.52864,13.68702,8
Danube,AT200,"Jochenstein, AT_JDS07",48.55007,13.64437,8
Danube,AT201,"Jochenstein, AT_JDS07",48.54527,13.65484,8
Danube,AT202,"Jochenstein, AT_JDS07",48.54259,13.65603,8
Danube,AT203,"Jochenstein, AT_JDS07",48.56265,13.58531,8
Danube,AT204,"Jochenstein, AT_JDS07",48.56519,13.58841,8
Danube,AT205,"Jochenstein, AT_JDS07",48.56746,13.59338,8
Danube,AT206,"Jochenstein, AT_JDS07",48.56766,13.59725,8
Danube,AT207,"Jochenstein, AT_JDS07",48.56641,13.60309,8
Danube,AT208,"Jochenstein, AT_JDS07",48.56175,13.61044,8
Danube,AT209,"Jochenstein, AT_JDS07",48.56308,13.60885,8
Danube,AT21,"Jochenstein, AT_JDS07",48.52677,13.69271,8
Danube,AT210,"Jochenstein, AT_JDS07",48.54111,13.65668,8
Danube,AT211,"Jochenstein, AT_JDS07",48.53702,13.65849,8
Danube,AT212,"Jochenstein, AT_JDS07",48.5345,13.66221,8
Danube,AT213,"Jochenstein, AT_JDS07",48.52759,13.68049,8
Danube,AT214,"Jochenstein, AT_JDS07",48.52542,13.68779,8
Danube,AT215,"Jochenstein, AT_JDS07",48.53627,13.65886,8
Danube,AT216,"Jochenstein, AT_JDS07",48.53809,13.65762,8
Danube,AT217,"Jochenstein, AT_JDS07",48.54418,13.65531,8
Danube,AT22,"Jochenstein, AT_JDS07",48.522482,13.70176,8
Danube,AT23,"Jochenstein, AT_JDS07",48.55816,13.62207,8
Danube,AT237,"Enghagen, AT_JDS08",48.23602,14.45757,8
